License Number,Community Name, Street Address,City,Zip Code,Case Number,Longitude,Latitude,First Inspection Date,Next Inspection Date,Inspection Frequency,Compliant,Unit Count,Units Inspected,Average Violations Per Unit,Severity Index,No Violations Observed,Infested Units Percentage,Units with Mold,Analysis Rating,Location
17335,"Glenville Road, 8811",8811 Glenville Rd,Silver Spring,20901,178081,-76.996439008,39.000071714,04/26/2023,,1,1,7,9,1.55,1.38,2,0.00,0.00,compliant,"(39.0001, -76.9964)"
17528,"Flower Avenue, 8601",8601 Flower Ave,Takoma Park,20912,175958,-77.00285001,38.996749409,10/24/2022,,2,1,4,6,1.83,1.66,2,0.00,0.16,at-risk,"(38.9967, -77.0029)"
17470,"Flower Avenue, 8605 & 8607",8605 Flower Ave,Takoma Park,20912,175959,-77.002881702,38.996867473,11/21/2022,,1,1,6,5,4.60,2.17,0,0.00,0.00,troubled,"(38.9969, -77.0029)"
125165,The Crest on Hampton Hollow,3408 HAMPTON HOLLOW DR,SILVER SPRING,20904,178107,0,0,04/18/2023,,,0,240,41,0.53,0.45,30,0.02,0.00,compliant,"(0.0, 0.0)"
18221,"Greenwood Avenue, 8105",8105 Greenwood Ave,Takoma Park,20912,174523,-76.999915536,38.990791303,09/20/2022,,3,1,6,6,0.33,0.33,4,0.00,0.00,compliant,"(38.9908, -76.9999)"
17457,"Greenwood Avenue, 8107",8107 Greenwood Ave,Takoma Park,20912,175464,-77.000024574,38.990906604,10/11/2022,,3,1,5,5,0.00,0.00,5,0.00,0.00,compliant,"(38.9909, -77.0)"
17943,Greenwood Mews,8211 Greenwood Ave,Takoma Park,20912,175966,-77.000742368,38.992554021,11/14/2022,,2,1,1,0,0.00,0.00,0,0.00,0.00,TBD,"(38.9926, -77.0007)"
17767,"Patterson Court, 306",306 Patterson Ct,Takoma Park,20912,177611,-76.99664366,38.987515616,03/06/2023,,3,1,5,7,0.42,1.07,2,0.00,0.00,compliant,"(38.9875, -76.9966)"
17355,Carroll Apartments,8733 Carroll Ave,Silver Spring,20903,175592,-76.990503052,38.999019766,10/11/2022,,1,1,52,16,2.25,2.31,1,0.06,0.00,troubled,"(38.999, -76.9905)"
108674,"8809 PLYMOUTH STREET, LLC",8809 PLYMOUTH ST,SILVER SPRING,20901,176728,-77.006710332,39.001134151,01/13/2023,,3,1,6,0,0.00,0.00,0,0.00,0.00,TBD,"(39.0011, -77.0067)"
17543,Ken Gar,10719 Shaftsbury St,Kensington,20895,176691,-77.077389801,39.031292147,01/11/2023,,3,1,19,18,3.72,1.68,2,0.00,0.05,troubled,"(39.0313, -77.0774)"
118934,The Flats at Columbia Pike,11556 February Cir,Silver Spring,20904,176711,-76.976897228,39.046859129,01/17/2023,,3,1,528,53,0.54,0.55,36,0.01,0.00,compliant,"(39.0469, -76.9769)"
17617,Oaks At Four Corners,321 University Blvd W,Silver Spring,20901,177051,-77.017226853,39.02354112,02/22/2023,,3,1,120,28,0.00,0.00,28,0.00,0.00,compliant,"(39.0235, -77.0172)"
17166,Triangle Towers,4853 Cordell Ave,Bethesda,20814,177058,-77.097430697,38.990112444,03/21/2023,,3,1,258,59,0.88,0.77,38,0.00,0.00,compliant,"(38.9901, -77.0974)"
17000,"Bradford Road, 8714",8714 Bradford Rd,Silver Spring,20901,174525,-77.006805208,38.999750301,10/04/2022,,3,1,6,2,1.50,1.33,0,0.00,0.00,compliant,"(38.9998, -77.0068)"
17536,Damascus Gardens,9829 Bethesda Church Rd,Damascus,20872,175480,-77.204350522,39.283275259,11/30/2022,,2,1,104,27,0.03,0.00,27,0.00,0.00,compliant,"(39.2833, -77.2044)"
17513,"Hampden Street, 4010",4010 Hampden St,Kensington,20895,176701,-77.080896872,39.032055805,12/27/2022,,3,1,12,14,1.71,1.90,2,0.00,0.00,at-risk,"(39.0321, -77.0809)"
17445,Highland House West,4450 Park Ave S,Chevy Chase,20815,175476,-77.088439389,38.962803721,11/02/2022,,3,1,309,73,0.30,0.89,47,0.00,0.00,compliant,"(38.9628, -77.0884)"
17690,"Nolte Avenue, 8207",8207 Nolte Ave,Silver Spring,20910,176687,-77.01291603,38.993360558,01/12/2023,,2,1,7,6,1.16,1.30,1,0.00,0.00,compliant,"(38.9934, -77.0129)"
17535,"Glenville Road, 8808",8808 Glenville Rd,Silver Spring,20901,177510,-76.997146254,39.000112899,02/27/2023,,3,1,4,5,1.40,2.70,2,0.00,0.00,at-risk,"(39.0001, -76.9971)"
17443,Foxhall Apartments,8715 Piney Branch Rd,Silver Spring,20901,175604,-76.995981627,38.998781191,10/25/2022,,1,1,263,255,1.21,1.38,97,0.05,0.01,compliant,"(38.9988, -76.996)"
47208,"Chevy Chase Drive, 4810",4810 Chevy Chase Dr,Chevy Chase,20815,177020,-77.095164723,38.976716503,03/03/2023,,3,1,3,0,0.00,0.00,0,0.00,0.00,TBD,"(38.9767, -77.0952)"
17963,FLOWER AVE,8615 FLOWER AVE,TAKOMA PARK,20912,175475,-77.002962615,38.997166775,10/11/2022,,,0,4,3,2.00,1.33,1,0.00,0.00,compliant,"(38.9972, -77.003)"
17619,"Vassar Circle, 3",3 Vassar Cir,Glen Echo,20812,177577,-77.143916896,38.970722173,03/01/2023,,3,1,1,0,0.00,0.00,0,0.00,0.00,TBD,"(38.9707, -77.1439)"
46079,Victory Terrace,9440 Newbridge Dr,Potomac,20854,176704,-77.192194093,39.013312926,01/12/2023,,3,1,72,18,0.11,0.05,17,0.00,0.00,compliant,"(39.0133, -77.1922)"
17590,Apartments At Miramont,6040 California Cir,Rockville,20852,177008,-77.125143599,39.056469871,03/02/2023,,3,1,299,78,0.70,1.00,46,0.00,0.00,compliant,"(39.0565, -77.1251)"
17597,"Schrider Street, 8209",8209 Schrider St,Silver Spring,20910,174513,-77.014017166,38.992638278,10/13/2022,,3,1,4,4,0.25,2.25,1,0.00,0.00,at-risk,"(38.9926, -77.014)"
17422,The Willows,429 Diamond Ave W,Gaithersburg,20877,177433,-77.187477649,39.141498877,03/07/2023,,3,1,195,0,0.00,0.00,0,0.00,0.00,TBD,"(39.1415, -77.1875)"
17970,"Hampden Lane, 4911",4911 Hampden Ln,Bethesda,20814,176720,-77.096995204,38.982890089,04/26/2023,,3,1,6,6,1.83,0.72,2,0.00,0.00,compliant,"(38.9829, -77.097)"
142497,University Gardens I & II Apartments,440 UNIVERSITY BLVD E,SILVER SPRING,20901,178108,0,0,03/30/2023,,,0,91,20,0.40,0.22,16,0.00,0.00,compliant,"(0.0, 0.0)"
116709,Vista at White Oak IV,11434 Lockwood Dr,Silver Spring,20904,174528,-76.986922042,39.041179301,09/13/2022,,3,1,175,38,2.63,1.59,7,0.02,0.13,troubled,"(39.0412, -76.9869)"
78742,Victory Oaks At St. Camillus,721 Beacon Rd,Silver Spring,20903,175974,-76.98235812,39.009968648,10/27/2022,,3,1,49,12,0.25,0.50,10,0.00,0.00,compliant,"(39.01, -76.9824)"
76069,Lasko Manor,4913 Hampden Ln,Bethesda,20814,176689,-77.097234436,38.98288989,03/02/2023,,3,1,12,10,0.30,0.00,10,0.00,0.00,compliant,"(38.9829, -77.0972)"
142507,Takoma Place I,8503 FLOWER AVE,TAKOMA PARK,20912,177506,0,0,02/10/2023,,,0,6,1,0.00,0.00,3,0.00,0.00,compliant,"(0.0, 0.0)"
18232,Oak Ridge Apartments,1014 Quebec Ter,Silver Spring,20903,176715,-76.98866607,39.000480299,03/23/2023,,3,1,113,30,1.56,1.82,7,0.06,0.00,at-risk,"(39.0005, -76.9887)"
49049,Arbor Crest Of Silver Spring,12801 Old Columbia Pike,Silver Spring,20904,174565,-76.963248479,39.064951936,08/22/2022,,3,1,80,22,1.13,0.94,14,0.00,0.00,compliant,"(39.065, -76.9632)"
42982,"Long Branch Parkway, 7920",7920 Long Branch Pkwy,Takoma Park,20912,177615,-76.997048254,38.9882789,03/01/2023,,3,1,1,1,2.00,1.00,0,0.00,0.00,compliant,"(38.9883, -76.997)"
18246,Hamptons Phase I I I,19773 Crystal Rock Dr,Germantown,20874,168698,-77.261921418,39.180572648,11/09/2022,,3,1,232,82,1.32,1.42,28,0.02,0.00,compliant,"(39.1806, -77.2619)"
45694,Hampshire Village,3210 Norbeck Rd,Silver Spring,20906,174504,-77.065176963,39.110951122,11/10/2022,,3,1,110,18,1.16,1.49,7,0.00,0.11,compliant,"(39.111, -77.0652)"
17466,"Garland Avenue, 8306",8306 Garland Ave,Takoma Park,20912,177504,-77.000615693,38.993512257,03/14/2023,,3,1,6,7,1.42,1.57,2,0.00,0.00,at-risk,"(38.9935, -77.0006)"
17447,"Greenwood Avenue, 8606",8606 Greenwood Ave,Takoma Park,20912,175965,-77.002441871,38.997358987,11/14/2022,,2,1,3,3,2.00,1.55,1,0.00,0.00,at-risk,"(38.9974, -77.0024)"
18209,"Garland Avenue, 7911",7911 Garland Ave,Takoma Park,20912,177528,-76.998342893,38.989374474,03/06/2023,,3,1,4,4,0.25,0.25,3,0.00,0.00,compliant,"(38.9894, -76.9983)"
17599,"Schrider Street, 8207",8207 Schrider St,Silver Spring,20910,174512,-77.014031182,38.992498248,10/11/2022,,3,1,4,4,0.00,0.00,1,0.00,0.00,compliant,"(38.9925, -77.014)"
17199,Holly Hall,10100 New Hampshire Ave,Silver Spring,20903,178098,-76.976749768,39.020466752,03/30/2023,,3,1,96,0,0.00,0.00,0,0.00,0.00,TBD,"(39.0205, -76.9767)"
112805,"8801 Plymouth St Apartments, LLC",8801 Plymouth Street,Silver Spring,20910,177508,0,0,02/21/2023,,2,1,6,7,1.28,2.20,1,0.00,0.00,at-risk,"(0.0, 0.0)"
17366,Hampshire West,1432 Hampshire West Ct,Silver Spring,20903,177535,-76.982358498,39.008442062,03/16/2023,,3,1,184,47,1.08,1.53,20,0.08,0.00,at-risk,"(39.0084, -76.9824)"
17412,The Point At Silver Spring,8750 Georgia Ave,Silver Spring,20910,174527,-77.031748729,38.998219601,12/20/2022,,3,1,891,187,0.62,0.84,112,0.01,0.00,compliant,"(38.9982, -77.0317)"
61475,The Apartments At National Park Seminary,9615 Dewitt Dr,Silver Spring,20910,174562,-77.056185742,39.011609426,09/22/2022,,3,1,66,17,0.23,0.73,12,0.00,0.00,compliant,"(39.0116, -77.0562)"
17279,Georgia West,8708 1St Ave,Silver Spring,20910,177575,-77.03263164,38.997727854,03/16/2023,,3,1,107,27,1.55,0.99,12,0.00,0.00,compliant,"(38.9977, -77.0326)"
17686,"Ridge Road, 25930",25930 Ridge Rd,Damascus,20872,177644,-77.212113201,39.282488407,03/01/2023,,3,1,2,2,0.50,1.00,1,0.00,0.00,compliant,"(39.2825, -77.2121)"
17315,Monterrey Apartments,7925 Chicago Ave,Silver Spring,20910,174568,-77.019117972,38.989606335,08/31/2022,,3,1,23,26,1.65,1.70,8,0.11,0.00,at-risk,"(38.9896, -77.0191)"
17642,Crossway Community,3015 Upton Dr,Kensington,20902,176712,-77.060814289,39.040271884,01/20/2023,,3,1,37,10,0.00,0.00,10,0.00,0.00,compliant,"(39.0403, -77.0608)"
17410,Glen Mont,4900 Battery Ln,Bethesda,20814,175599,-77.099128995,38.991875007,10/18/2022,,2,1,50,34,0.70,0.70,20,0.08,0.00,compliant,"(38.9919, -77.0991)"
